1,88,
1,88,Mbits/sec
1,96,306
1,112,355
1,128,419
1,168,560
1,200,562
1,232,672
1,256,714
1,512,1.47
1,768,2.16
1,1024,2.79
1,1518,3.70
1,88,Mbits/sec
1,96,306
1,112,355
1,128,417
1,168,596
1,200,541
1,232,662
1,256,732
1,512,1.42
1,768,2.10
1,1024,2.76
1,1518,3.60
1,88,Mbits/sec
1,96,740
1,112,850
1,128,1.02
1,168,1.04
1,200,1.20
1,232,1.47
1,256,1.51
1,512,2.72
1,768,4.23
1,1024,4.91
1,1518,6.24
1,88,Mbits/sec
1,96,563
1,112,724
1,128,756
1,168,1.02
1,200,1.21
1,232,1.35
1,256,1.52
1,512,2.77
1,768,4.76
1,1024,5.03
1,1518,5.93
1,88,Mbits/sec
1,96,232
1,112,286
1,128,325
1,168,448
1,200,458
1,232,548
1,256,615
1,512,1.19
1,768,1.79
1,1024,2.16
1,1518,3.21
1,88,Mbits/sec
1,96,235
1,112,274
1,128,318
1,168,430
1,200,430
1,232,517
1,256,560
1,512,1.19
1,768,1.71
1,1024,2.16
1,1518,2.95
1,88,Mbits/sec
1,96,562
1,112,704
1,128,767
1,168,1.02
1,200,1.34
1,232,1.45
1,256,1.51
1,512,2.94
1,768,3.93
1,1024,4.88
1,1518,5.93
1,88,
1,96,990
1,112,1238
1,128,1377
1,168,1703
1,200,2.13
1,232,2.36
1,256,2.65
1,512,4.77
1,768,7.77
1,1024,8.01
1,1518,10.49
1,88,Mbits/sec
1,96,581
1,112,676
1,128,779
1,168,1.01
